ly	2.1
ly4e	2.2
lya	2.8
lyb	2.5
lyl	2.6
lylab	2.2
lylas	2.1
lylb	1.1
m8	0.8999999999999999
mia	-1.7
mml	1.5
mofo	-2.9
muah	2.3
mubar	-1.5
musm	0.4
mwah	2.0
n1	1.4
nbd	0.8
nbif	-1.0
nfc	-3.2
nfw	-2.9
nh	1.7000000000000002
nimby	-1.3
nimjd	-1.2
nimq	-0.7
nimy	-1.9
nitl	-2.0
nme	-2.6
noyb	-1.2
np	0.8999999999999999
ntmu	0.8999999999999999
o-8	-1.0
o-:	-0.8
o-|	-1.6
o.o	-1.1
O.o	-1.1
o.O	-1.1
o:	-0.7
o:)	1.0
o:-)	1.5
o:-3	1.7000000000000002
o:3	1.7999999999999998
o:<	-0.8
o;^)	1.1
ok	1.1
o_o	-1.0
O_o	-1.0
o_O	-1.0
pita	-2.9
pls	-0.2
plz	-0.2
pmbi	0.30000000000000004
pmfji	-0.2
pmji	0.19999999999999996
po	-3.1
ptl	2.1
pu	-1.6
qq	-2.7
qt	1.3
r&r	1.9
rofl	2.2
roflmao	2.0
rotfl	2.1
rotflmao	2.3
rotflmfao	2.0
rotflol	2.5
rotgl	2.4
rotglmao	1.3
s:	-1.6
sapfu	-1.6
sete	2.3
sfete	2.2
sgtm	1.9
slap	0.09999999999999998
slaw	1.6
smh	-1.8
snafu	-3.0
sob	-3.3
swak	1.7999999999999998
tgif	1.7999999999999998
thks	0.8999999999999999
thx	1.0
tia	1.7999999999999998
tmi	-0.8
tnx	0.6000000000000001
true	1.3
tx	1.0
txs	0.6000000000000001
ty	1.1
tyvm	2.0
urw	1.4
vbg	1.6
vbs	2.6
vip	1.7999999999999998
vwd	2.1
vwp	1.6
wag	-0.7
wd	2.2
wilco	0.4
wp	0.5
wtf	-3.3
wtg	1.6
wth	-2.9
x-d	2.2
x-p	1.3
xd	2.2
xlnt	2.5
xoxo	2.5
xoxozzz	1.7999999999999998
xp	0.7
xqzt	1.1
xtc	0.30000000000000004
yolo	0.6000000000000001
yoyo	-0.09999999999999998
yvw	1.1
yw	1.3
ywia	2.0
zzz	-1.7
[-;	0.0
[:	0.8
[;	0.5
[=	1.2
\-:	-1.5
\:	-1.5
\:<	-2.2
\=	-1.6
\^:	-1.8
\o/	1.7000000000000002
\o:	-1.7
]-:	-2.6
]:	-2.1
]:<	-3.0
^<_<	0.8999999999999999
^urs	-3.3
